Country Name,Total Population,Year
Australia,21691700,2009
Australia,22031750,2010
Australia,22340024,2011
Australia,22733465,2012
Australia,23128129,2013
Australia,23475686,2014
Australia,23815995,2015
Australia,24190907,2016
Germany,81902307,2009
Germany,81776930,2010
Germany,80274983,2011
Germany,80425823,2012
Germany,80645605,2013
Germany,80982500,2014
Germany,81686611,2015
Germany,82348669,2016
Spain,46362946,2009
Spain,46576897,2010
Spain,46742697,2011
Spain,46773055,2012
Spain,46620045,2013
Spain,46480882,2014
Spain,46444832,2015
Spain,46483569,2016
France,64707040,2009
France,65027507,2010
France,65342780,2011
France,65659809,2012
France,65998687,2013
France,66316100,2014
France,66593366,2015
France,66859768,2016
Italy,59095365,2009
Italy,59277417,2010
Italy,59379449,2011
Italy,59539717,2012
Italy,60233948,2013
Italy,60789140,2014
Italy,60730582,2015
Italy,60627498,2016
Mexico,112463887,2009
Mexico,114092963,2010
Mexico,115695473,2011
Mexico,117274155,2012
Mexico,118827161,2013
Mexico,120355128,2014
Mexico,121858258,2015
Mexico,123333376,2016
United States,306771529,2009
United States,309326085,2010
United States,311580009,2011
United States,313874218,2012
United States,316057727,2013
United States,318386421,2014
United States,320742673,2015
United States,323071342,2016
